RHO;Q
0;0
0.006;0.027754
0.012;0.055578
0.018;0.083216
0.024;0.11103
0.03;0.138436
0.036;0.166194
0.042;0.193602
0.048;0.221013
0.054;0.248218
0.06;0.275604
0.066;0.301921
0.072;0.330656
0.078;0.356123
0.084;0.381969
0.09;0.407742
0.096;0.425484
0.103;0.44079
0.109;0.411784
0.115;0.421398
0.121;0.421573
0.127;0.424797
0.133;0.419562
0.139;0.420382
0.145;0.414565
0.151;0.419053
0.157;0.407064
0.163;0.413761
0.169;0.408082
0.175;0.408281
0.181;0.401354
0.187;0.403232
0.193;0.403658
0.2;0.395287
0.206;0.39019
0.212;0.394937
0.218;0.387856
0.224;0.391662
0.23;0.382791
0.236;0.383188
0.242;0.380192
0.248;0.380761
0.254;0.379934
0.26;0.374954
0.266;0.371996
0.272;0.3709
0.278;0.370826
0.284;0.363977
0.29;0.364226
0.296;0.358214
0.303;0.36144
0.309;0.354194
0.315;0.349927
0.321;0.351602
0.327;0.350523
0.333;0.346713
0.339;0.345104
0.345;0.340955
0.351;0.339285
0.357;0.335317
0.363;0.333726
0.369;0.328658
0.375;0.327019
0.381;0.326881
0.387;0.325086
0.393;0.317909
0.4;0.317825
0.406;0.310888
0.412;0.312534
0.418;0.307665
0.424;0.30598
0.43;0.303661
0.436;0.300532
0.442;0.296655
0.448;0.296524
0.454;0.292853
0.46;0.290903
0.466;0.288816
0.472;0.28514
0.478;0.281902
0.484;0.281499
0.49;0.276635
0.496;0.272943
0.503;0.269273
0.509;0.268706
0.515;0.262926
0.521;0.260033
0.527;0.258411
0.533;0.256307
0.539;0.252412
0.545;0.249891
0.551;0.246908
0.557;0.244717
0.563;0.241488
0.569;0.238336
0.575;0.234495
0.581;0.232308
0.587;0.229957
0.593;0.22669
0.6;0.222274